Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Hotel_number_reviews,Reviewer_number_reviews,Review_Score,Review,Review_Type
21 21 rue de Dunkerque 10th arr 75010 Paris France,6/7/2016,7.4,Mercure Paris Terminus Nord, United States of America ,5575,2,6.7, Too much money charged for the quality of the hotel  Location to Gare du Nord is GREAT It s literally right across the street So convenient ,Bad_review
1 1 3 Queens Garden Westminster Borough London W2 3BA UK,3/29/2016,7.7,The Park Grand London Paddington, Qatar ,4380,24,5.4, Everything else Price,Bad_review
1 1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB UK,12/16/2016,8.5,K K Hotel George, United Kingdom ,1831,13,5.8, Staff not particularly helpful Have stayrf before and not had room serviced so had to request this 3 times Breakfasy ok but not outstanding for a 4 Rooms small esp bathroom and not particularly warm Its in the right area for what we need,Bad_review
1 1 Kings Cross Road Islington London WC1X 9HX UK,10/12/2015,8.1,Crowne Plaza London Kings Cross, United Kingdom ,2312,2,6.7, TV for the price was poor,Bad_review
372 372 Strand Westminster Borough London WC2R 0JJ UK,10/10/2016,8.1,Strand Palace Hotel, United Kingdom ,9568,7,5.0, Had trouble booking in as 2 rooms on different floors despite requesting being close together and telephoning the day before Wasted 1 2 hour to get sorted Staff really need to try harder not rude but just not helpful Disjointed policies Letter for Exec Room given at check in said waiter at bfast would help with Express Check out but they knew nothing Concierge said drop ur keys in box at Reception but there was no box I asked Reception n they just took room keys off me no How was you stay or Is there anything else I can help with Hotel VERY VERY noisy hardly got any sleep Won t be coming back  Location is great,Bad_review
Lancaster Lancaster Gate Westminster Borough London W2 3LG UK,7/5/2016,7.6,Corus Hotel Hyde Park, United Kingdom ,2562,1,6.3, Tried four times to get room service each time the phone was picked up and put down straight away disconnecting the call The 5th time we rang it just rang out no answer Tried ringing Reception the phone just rang without answer We went without food  Closeness to Hyde Park,Bad_review
Putget Putget 68 Sarri St Gervasi 08023 Barcelona Spain,4/30/2017,7.4,Catalonia Park Putxet, United Kingdom ,3590,5,6.3, Disappointed that no tea coffee making facilities available in room Toilet paper almost unflushable Service at bar for coffee tea very slow Our room was on 1st floor and below outside many people appeared to congregate to smoke and talk so it was noisy late evening Quite a difficult position for people with walking difficulties  Nice comfy and large beds Bed linen and towels changed daily Room very clean and tidy,Bad_review
Wrights Wrights Lane Kensington and Chelsea London W8 5SP UK,8/11/2016,7.8,Holiday Inn London Kensington, United Kingdom ,5945,1,4.6, We stayed in a room that was at the very end of the hotel this room was very very small from the door to the bed was 3 steps for me and im 5ft 2inch the bed The bed was very uncomfortable and gave both of us back ache there was no mattress topper which I was surprised has the mattress was very old when we took the sheet off im was just so shocked as when you walk in the hotel it looks amazing when you get to the room its a massive shock it was very disappointing The hotel lobby was beautiful it was very nice and welcoming ,Bad_review
Vijzelstraat Vijzelstraat 4 Amsterdam City Center 1017 HK Amsterdam Netherlands,10/29/2016,7.0,NH Carlton Amsterdam, United Kingdom ,4231,1,4.2, The hotel was nothing like the photographs Burns on the curtain absolutely freezing ripped wall paper  The hairdryer in the bathroom was handy,Bad_review
Angli Angli 60 Sarri St Gervasi 08017 Barcelona Spain,4/12/2016,8.3,Eurostars Angli, United Kingdom ,847,18,6.7, It was a little costly for what it was when booking the pool attracted us but looked out of use and had lots of leaves Needless to say we didn t swim The air con in the room wasn t powerful either it meant the room never got cool as we were a sun facing room We didn t have any tea or coffee facilities which was disappointing  The staff were very friendly and the room itself was lovely The location was easy to get to 5mins walk from the Sarria metro and took 10mins to get into the centre via metro Breakfast was good though not included and bed was very comfy ,Bad_review
Lancaster Lancaster Gate Westminster Borough London W2 3LG UK,9/30/2015,7.6,Corus Hotel Hyde Park, United Kingdom ,2562,13,4.2, Building under refurbishment and probably best closed rather than kept open Not all lifts running and you could Wait quarter of an hour to get a lift The lifts are very noisy and can be heard in the bedrooms they need refurbishment also  No a lot,Bad_review
7 7 Western Gateway Royal Victoria Dock Newham London E16 1AA UK,8/2/2016,8.5,Novotel London Excel, United Kingdom ,1158,1,4.2, Shower had a horrible smell of sewage which meant we couldn t use it in the morning before our big cycle We were forced to change rooms half way through our stay Toilets in the lobby were the same so clearly a wider problem Pasta we had in the restaurant was very bland and more like something you d serve in a kids menu Disappointing considering price Not ideal having the toilet in a different part of the room from the sink to wash your hands Led to a lot of noise during the night  Twin room was a good size Bed was comfy ,Bad_review
Epping Epping Forest 30 Oak Hill London IG8 9NY UK,7/5/2016,7.5,Best Western PLUS Epping Forest, United Kingdom ,587,2,3.8, At check in the booking com reservation for a family room had apparently not made it onto the hotel s system We went up to the room and although it had a double bed and sofa bed the sofa bed had not been prepared Cue a trip back down to reception un necessary and off to a bad start The room was tired with plug sockets hastily covered with electrical tape Saying that we slept well and the bed was fine The following morning s breakfast was unpleasant as the restaurant was not very clean with filthy chairs and unwiped tables The food was of motorway service station standard with undrinkable coffee from a machine if I d paid 50 all of this would have been understandable just but the bill came to 110 including breakfast Ripoff We were glad to leave  Location,Bad_review
265 265 Rotherhithe Street Southwark London SE16 5HW UK,6/28/2016,8.1,DoubleTree by Hilton London Docklands Riverside, United Kingdom ,3826,2,4.6, Staff I was given a double room with no balcony without being told anything I went to reception told them this is not the room I paid for I paid for a queen with balcony and views and was told sorry we are extremely busy tonight we only have that room I said that s unexceptable they told me do you love on London we can redund you money and come and stay with us another night when I was 3 in morning had to organise a babysitter ect also underground car park was full,Bad_review
101 101 Buckingham Palace Road Westminster Borough London SW1W 0SJ UK,9/20/2015,8.4,The Grosvenor, United Kingdom ,3274,2,3.8, Room is tiny and service is bad,Bad_review
40 40 trinity square City of London London EC3N 4DJ UK,11/29/2016,9.1,citizenM Tower of London, United Kingdom ,4672,3,6.7, NO BUTTER AT BREAKFAST STAFF WERE VERY HELPFUL,Bad_review
Ronda Ronda Universitat 21 Eixample 08007 Barcelona Spain,6/20/2017,8.5,H10 Universitat, India ,1403,5,6.3, The hospitality and service was bad The staff at reception does not have enough knowledge to guide a tourist properly Wrong or half toutist information was given They charge you 3 euro just for getting extra glass or plate to your room Not expected from a 4 star hotel We had special dietary requirements but they were not ready to customize anything for us inspire of informing in advance so we could not opt to include breakfast in our stay  Location was good Close to bus stops and metro stations Close to place catalunya and la ramala ,Bad_review
163 163 Marsh Wall Docklands Tower Hamlets London E14 9SJ UK,12/7/2016,7.1,Britannia International Hotel Canary Wharf, Ireland ,9086,1,5.8, Everything looked shabby Food wasn t great Staff seemed confused by simple English They spelled my name wrong  The bed was quite good and all the furniture though clearly quite dated like The Grand Budapest Hotel was lovely old hardwood ,Bad_review
IJdock IJdock 6 Amsterdam City Center 1013 MM Amsterdam Netherlands,8/16/2016,8.8,Room Mate Aitana, United Arab Emirates ,4097,2,3.3, I didn t like the service provided for the first time I don t see a bell boy in a 4 star hotel ,Bad_review
140 140 Gloucester Road Kensington and Chelsea London SW7 4QH UK,10/31/2015,8.7,The Bailey s Hotel London, United Kingdom ,2485,4,6.7, Very small bedroom with the double bed pushed against the wall at one side meaning I had to climb on from foot of bed  Good location with easy access to Gloucester tube station Nice pub just across the road too ,Bad_review
82 82 Gloucester Place Westminster Borough London W1U 6HN UK,2/25/2016,7.5,Hotel 82 London, United Kingdom ,1733,8,4.2, d cor and quality of rooms beds etc poor and outdated facilities were limited Location was good Staff were helpful,Bad_review
163 163 Marsh Wall Docklands Tower Hamlets London E14 9SJ UK,2/10/2017,7.1,Britannia International Hotel Canary Wharf, United Kingdom ,9086,6,6.3, The crazy wallpaper in our room and dated look and feel of the hotel  Location,Bad_review
22 22 Portman Square Westminster Borough London W1H 7BG UK,12/4/2015,7.9,Radisson Blu Portman Hotel London, United Kingdom ,2308,3,6.3, The staff were a bit robot like I felt as tho they were reading a script because they entirely lacked sincerity in wishing you a nice stay The buffet breakfast was really bad value and incredibly overpriced given the poor quality of a lot of the food choices eg very fatty cheap bacon and sausages greasy fried eggs etc etc It was incredibly disappointing for the exorbitant price It was also of a much poorer quality than in other hotels within the Radisson Blu chain  The room was clean and comfortable ,Bad_review
Leeuwendalersweg Leeuwendalersweg 21 Bos en Lommer 1055 JE Amsterdam Netherlands,7/7/2017,7.4,Best Western Blue Tower Hotel, Switzerland ,3869,5,5.4, Smelly corridor dusty rooms broken basins perhaps because the hotel is still under renovation We are a bit disappointed with the hotel facilities  Very friendly and helpful staff We got the rooms we requested Though the safe in rooms I booked were not functioning a staff came to repair them Public car park next to the hotel 12 per day No 21 bus or No 14 tram to central station and Dam around 12 to 18 mins There is a short cut on the left side of the entrance to the bus tram stop takes less than 3 mins walk ,Bad_review
Taborstra Taborstra e 12 02 Leopoldstadt 1020 Vienna Austria,12/17/2015,9.1,Hotel Stefanie, China ,3883,12,6.7, Expensive but probably for Vienna is not as everything there is pricy Didn t provide some things like slippers toothbrush comb Some of customer service was blunt but at other times was good and helpful  Amazing breakfast location character,Bad_review
Moll Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain,7/28/2017,8.5,Eurostars Grand Marina Hotel GL, United Kingdom ,4559,1,5.8, The pool is actually very small and the walk to the beach takes a very very long time  Bed was comfy and room was nice and spacious Bathroom especially was very nice ,Bad_review
Avenida Avenida Diagonal 205 Sant Mart 08018 Barcelona Spain,4/12/2016,8.0,The Gates Diagonal Barcelona, Saudi Arabia ,1725,10,6.7, Bathroom tower was used and wet but hung in the bathroom which was very uncomfortable Water bottle in the fridge was opened and 3 4 of it gone Cleanliness and housekeeping wasn t so keen on checking the fridge and also replacing the towels  Hotel decoration and design is very nice and modern I had a nice view towards a tower and there is a water kettle in the room for tea and coffee which was nice Staff were friendly,Bad_review
Mallorca Mallorca 1 23 Sants Montju c 08014 Barcelona Spain,5/30/2017,7.6,Expo Hotel Barcelona, United Kingdom ,4646,15,5.8, The bed was on casters and had no headboard so the pillows ended up on the floor The menu in the restaurant was very limited Only three main course items Got a kettle but nothing to go with it The pool closed at six pm So a swim before dinner was out  Not a lot Just an average hotel at an inflated price ,Bad_review
Coram Coram Street Camden London WC1N 1HT UK,7/19/2016,8.2,Holiday Inn London Bloomsbury, Germany ,2995,2,6.7, Small room for the price and the breakfast is only British Friendly staff,Bad_review
Roger Roger de Lluria 16 18 Eixample 08010 Barcelona Spain,2/10/2016,8.9,Negresco Princess 4 Sup, Turkey ,2369,1,2.5, Window of the room is locked you have to ask from hotel employess to open it Very well located very close to metro station 2 minutes Very close to Placa catalunya max 10 minutes Kind personnel new hotel ,Bad_review
Singel Singel 303 309 Amsterdam City Center 1012 WJ Amsterdam Netherlands,8/16/2016,9.1,Hotel Esther a, United Kingdom ,4687,3,6.3, The staff are lovely but one rude and surly receptionist was most unhelpful demanding cash for a museum trip when they had already taken a credit card swipe and knew I was still in the hotel and they would get paid Very unprofessional and unhelpful when we needed the cash to get family to the airport in an emergency late at night  Hotel in a great quiet position rooms comfortable but very dark ,Bad_review
144 144 Praed St Paddington Westminster Borough London W2 1HU UK,4/5/2017,7.6,Mercure London Paddington Hotel, United Kingdom ,1458,7,5.4, Smallest hotel room I have ever been in Essentially two cupboards stuck together Location,Bad_review
Engerthstra Engerthstra e 173 175 02 Leopoldstadt 1020 Vienna Austria,3/9/2016,8.1,Austria Trend Hotel Lassalle Wien, Spain ,1287,4,6.7, No restaurants at all around Not a 4 stars hotel No air conditioning Breakfast is poor and can be better for the price paid  Close to a public subway and Convention Center Easy to arrive in from airport by train and metro Quiet rooms ,Bad_review
Ungargasse Ungargasse 60 03 Landstra e 1030 Vienna Austria,3/20/2017,8.1,Imperial Riding School Renaissance Vienna Hotel, Poland ,1395,44,5.8, Swimming pool and sauna neglected and uncomfortable as the municipal swimming pool 30 years ago  Very tasty breakfast ,Bad_review
40 40 Rue du Commandant Ren Mouchotte 14th arr 75014 Paris France,9/27/2016,7.9,H tel Concorde Montparnasse, Israel ,2515,2,5.8, Receptionist with an unpleasent attitude And a non smoking room that smelled like it had been smoked in  Great breakfast Good location for travellers arriving or departing from Montparnas train station,Bad_review
419 419 437 Hackney Road London E2 8PP UK,7/23/2017,7.8,The RE London Shoreditch, China ,2147,6,5.0, Location That s why the hotel is available during tennis season  The solution during tennis season ,Bad_review
1 1 Impasse Marteau 18th arr 75018 Paris France,7/12/2017,7.4,Novotel Suites Paris Nord 18 me, Sri Lanka ,1082,3,5.8, staff not friendly enough tea bag sugar coffee etc only one provided in the room we are two no milk at all no regular tea bag only herbal tea there is no universal wall socket to charge phone or laptop all mainland european standard hotels must be universal they forced me to buy a converter for a one night use there are plenty of things to improve standard  location,Bad_review
Pla Pla a Antonio L pez 5 Ciutat Vella 08002 Barcelona Spain,10/27/2016,9.1,Duquesa Suites Barcelona, Turkey ,946,4,6.7, Our room was bad smelling,Bad_review
12 12 Upper Woburn Place Camden London WC1H 0HX UK,12/31/2015,7.9,Ambassadors Bloomsbury, Belgium ,1521,8,6.3, The bed was very comfortable but there was very little space in the room No table very small wardrobe very small luggage rack Bathroom extremely small and under equipped The door was semi transparent glass and didn t have a lock No shelf to place one s things Shower space had no rim so water flooded the whole bathroom OK if you just want to sleep here but not comfortable if you want to spend any time relaxing  Convenient location 10 min by foot to St Pancras station Eurostar and 15 20 min by foot to the West End Good wi fi TV and breakfast ,Bad_review
IJdock IJdock 6 Amsterdam City Center 1013 MM Amsterdam Netherlands,7/31/2016,8.8,Room Mate Aitana, Thailand ,4097,10,4.2, Too expensive for what it is compared to other hotel in the city in Amstersdam Staffs are stern cold Location is not easy to walk from Central Station ,Bad_review
1 1 3 Queens Garden Westminster Borough London W2 3BA UK,6/29/2016,7.7,The Park Grand London Paddington, United Kingdom ,4380,1,6.3, The staff is unorganised I ve booked the hotel through booking com and I ve paid for the room in advanced The staff kept on letting me put in my card again and again thinking that I haven t pay yet Which made me late for the meeting Also I ve arrived an hour later than the time they set for the check in and my room is still not ready  Bed is comfy and the room is clean The ac is adjustable which is very good,Bad_review
84 84 King Street Hammersmith and Fulham London W6 0QW UK,4/6/2016,7.8,Best Western Plus Seraphine Hammersmith Hotel, United Kingdom ,1717,6,6.3, beeping alarm from the safety panel in the ceiling outside of our room also wasn t so impressed with the mould stain on one wall Perfect for going to events at Hammersmith Apollo,Bad_review
1a 1a Lexham Gardens Kensington and Chelsea London W8 5JJ UK,4/20/2016,7.5,Mercure London Kensington Hotel, United Kingdom ,1016,11,5.0, In helpful when you have a problem,Bad_review
Amstelstraat Amstelstraat 17 Amsterdam City Center 1017 DA Amsterdam Netherlands,8/2/2016,7.8,Hampshire Hotel Rembrandt Square Amsterdam, United Kingdom ,2591,1,4.6, Staff had poor attitudes taxi arranged by hotel tried to charge more than agreed rate Early check in not honoured nor the request for a double bed Expensive hotel with average facilities and bad staff issues Location was good central,Bad_review
7 7 9 rue du Conservatoire 9th arr 75009 Paris France,1/29/2017,9.0,Hotel de Nell, United Arab Emirates ,280,2,6.3, Small rooms for five star hotel They have good staff the concierge Denny was so nice and helpful In general they re all very friendly And our experience was overall good ,Bad_review
Linnaeusstraat Linnaeusstraat 89 Oost 1093 EK Amsterdam Netherlands,1/13/2017,8.3,Hampshire Hotel The Manor Amsterdam, Netherlands ,1939,1,2.5, Any possibility to speak with the management to ask if is possible change the date was a nightmare on the phone Was very unprofessional the receptionist to my question to change for the day after just look to keep the money no mattered if I mistake the reservation day just stolen money the hotel with no possibility to change for the day after never more,Bad_review
17 17 25 Sloane Street Knightsbridge Kensington and Chelsea London SW1X 9NU UK,12/12/2015,7.5,Millennium Hotel London Knightsbridge, United Kingdom ,2746,1,4.2, Rubish service and unfriendly staff rude old hotel small beds Uncomfortable for 2 average size people to sleep not suitable for Sloan st It s a hotel suited for third world clients Sorry Not worth my money or time,Bad_review
Plaza Plaza Espa a 6 8 Sants Montju c 08014 Barcelona Spain,7/17/2016,8.4,Catalonia Barcelona Plaza, United Kingdom ,4527,3,6.5, No tea coffee making facilities in room Insufficient plugs for charging the many devices people carry these days Worn dated decor disliked rusty bath in bathroom Noisy room on busy roundabout  Roof top swimming pool and bar view from roof top bar ,Bad_review
101 101 Buckingham Palace Road Westminster Borough London SW1W 0SJ UK,12/6/2016,8.4,The Grosvenor, United Kingdom ,3274,40,4.6, For GBP 260 per night this hotel is totally out of step with its peers The decor is tired old fashioned and dated Low quality bed linens pillows and duvet scratchy hard cottons and no feathered duvet just those thick cotton fillings that sit rigidly above your body and do not fall around you Very loud rattling noise from the air conditioning unit and since the windows don t open no option but to keep it switched on So your choice therefore is to bake in a boiling hot room and not sleep or have the air con on and struggle to sleep above the noise Breakfast is nothing to write home about and served in a rather dingy room though again the Christmas decorations at least were nicely done It is winter and yet only 1 thin towel each provided in the bathroom and no bathrobes We were moved to a suite for our second night and yet sadly even in there the decor was terribly dull It was such a poor use of space as well a large living room with a sofa two armchairs coffee table and a cupboard in it Simply no atmosphere at all For an extra GBP 100 a night we could have stayed somewhere like Hazlitts or the W which is where we usually stay and stayed here only for ease of connection to Victoria Gatwick We will never stay here again  Location is excellent for tourists Lobby area is lovely music very traditionally British beautiful Christmas tree Some of the staff were professional and courteous ,Bad_review
50 50 Berners Street Westminster Borough London W1T 3NG UK,9/6/2016,9.0,Sanderson A Morgans Hotel, United Kingdom ,886,6,5.4, Poor service staff failed to deliver on multiple promises  Good location clean comfortable rooms ,Bad_review
Via Via Domenico Scarlatti 24 Central Station 20124 Milan Italy,3/1/2016,8.3,Andreola Central Hotel, Greece ,1135,1,6.7, Irritating noise from electronic devices during the night Noise morning wake up from works in the backyard They should have provide us a room in the other side Nice location for station usage,Bad_review
64 64 76 Hendon Way London NW2 2NL UK,6/29/2017,7.9,Best Western Palm Hotel, United Kingdom ,2037,3,5.0, Private parking was advertised when I got there the gate was across the car park luckily I found a space on the road just got soaking wet in the process as it was torrential rain I arrived at 9 30pm due to traffic and thought I would be able to grab a quick something to eat the food stopped at half 9 and was advised there was a room service menu in the room get to the room no menu had to call reception to see what I could have she didn t even know she had to walk over to the bar area and ask them I ended up with an expensive stale sandwich cut into little triangles the bread had been kept in the fridge and tasted awful there was no bottles of water in the room and she didn t ask if I wanted anything to drink couldn t be bothered calling again so used tap water I had originally paid for breakfast but just wanted to leave in the morning so didn t bother My room was next to big air vents on the roof this was very noisy and the air con was even louder The remote I had to press 5 and 6 times to change the channel there is a sky remote but it doesn t work I stay in the centre of London most of the time for the same price and a much nicer hotel but this time needed to be close to Camden I would not stay here again  After a long drive it was pretty close of the motorway,Bad_review
380 380 Kensington High Street Kensington and Chelsea London W14 8NL UK,5/4/2016,7.4,Hilton London Olympia, United Kingdom ,1786,2,4.2, We had booked an extra bed that was not in the room on arrival We arrived at 23 and had to wait until midnight with children to get bed organised Cleaning equipment dusters cloths etc was lying around the room on arrival Only towels for 2 people although booked for 3 and on cleaning the following am only 2 towels were given despite 3 beds in the room Hotel is worn and dated in urgent need of refurbishment Staff pleasant but came across inexperienced and needing support staff training  The location,Bad_review
1 1 8 Russell Square Camden London WC1B 5BE UK,11/18/2015,8.0,The Principal London, United States of America ,3150,1,6.7, The single room is small but I was more bothered by the noise from the hallway The walls are very thin Also there was a little mold on the shower wall on my first night It was removed after I called the front desk about it the next morning Otherwise the bathroom was nice  The location is conveniently located to the metro shopping mall restaurants park and The British Museum The exterior is beautiful and the bar is nice ,Bad_review
Western Western Gateway Newham London E16 1FA UK,6/27/2017,8.1,Good Hotel London, United Kingdom ,1018,4,6.3, However the staff tend to assume you are a tourist when you do not look English Not a good thing to do as it can appear quite condescending The bathroom area was disgusting The tile in the shower room had someone s bogie stuck onto the tile and the toilet area had splashes of brown on the tile behind the toilet and soap marks on the tile of the sink Disgusting The room carpet had not been hovered as I saw the same dirt when I first came to the room and when I left I thought it was a permanent mark but it wasn t It was actually a dirt on the carpet Don t know why they cannot keep the room clean as the room is not even big The maid is very mean with the milk sachets Gave two sachets when she should be leaving four i e two coffee and two teas The phone never worked and the maid never checked to see if this is working There are no tvs in the room so no entertainment in the room  Bed was very comfortable ,Bad_review
22 22 Hertsmere Road Tower Hamlets London E14 4ED UK,1/16/2017,8.9,London Marriott Hotel West India Quay, United Kingdom ,2836,1,6.3, The wifi in the bedroom didn t work When asked staff about this they were no help My daughter had to keep going down in to the lobby to use wifi with my mum whilst I went to the o2 Not good enough The room service food was very very poor and we couldn t really eat it We had the Marriott burgers and the buns were so hard that they were impossible to eat When complained no one took any notice Breakfast is not worth the money they charge for it and to top it off they tried to charge us 22 each for the breakfast when it was included in our room price Thr hotel was clean and the beds were very comfy ,Bad_review
50 50 Lancaster Gate Westminster Borough London W2 3NA UK,11/24/2015,6.7,Commodore Hotel, United Kingdom ,2400,1,5.0, Very cold room stained Carpet peeling radiators cracks in wall  Staff were polite,Bad_review
372 372 Strand Westminster Borough London WC2R 0JJ UK,3/7/2016,8.1,Strand Palace Hotel, United Kingdom ,9568,22,3.8, Overcharged by 920 and still waiting for the refund told it will take a week Yet it took them 5 minutes to clear out my bank account leaving me massivley overdrawn and bank charges daily which hotel have said they are not refunding Disgusting Rang hotel 8 times now left 6 messages for manager to call me but he hasn t  The young chap in bar whose service was lovely ,Bad_review
Peters Peters Lane Cowcross Street Islington London EC1M 6DS UK,11/5/2015,9.1,The Rookery, France ,501,4,5.0, Old and cold ,Bad_review
Great Great Cumberland Place Westminster Borough London W1H 7DL UK,2/20/2016,7.5,The Cumberland A Guoman Hotel, Kuwait ,5180,4,5.4, The construction and maintenance in side the building at the same level of my room it was very noisy and we couldn t sleep the staff of the reception couldn t move us to anew room Nothing was mentioned about the maintenance when I booked from Booking com page  I like the location of the hotel,Bad_review
Amstelstraat Amstelstraat 17 Amsterdam City Center 1017 DA Amsterdam Netherlands,3/22/2017,7.8,Hampshire Hotel Rembrandt Square Amsterdam, Singapore ,2591,4,6.3, The staff just opened my room without knocking the door The staff put me to first floor and they didn t tell me that the lift was spoilt My luggage was so heavy and they expect me to carry my luggage all the way up I stayed their for 5 nights and the breakfast is the same EVERYDAY  The room was amazing And the hotel is surrounded with many restaurants and walking distance only from DAM square and the Central Wifi was so good ,Bad_review
Piazza Piazza Giuseppe Missori 1 Milan City Center 20123 Milan Italy,3/2/2017,8.4,Hotel Dei Cavalieri, Belgium ,3445,1,5.4, 3 beds is not tha same as 2 5 beds The folding bed was uncomfortable ant too small ,Bad_review
Stadhouderskade Stadhouderskade 25 Oud Zuid 1071 ZD Amsterdam Netherlands,1/30/2016,8.3,Park Hotel, United Kingdom ,2027,5,5.8, Some of the reception staff Being given a box room at the back of the hotel with no view after incorrectly being given a twin room despite booking months in advance and requesting a view  The porters ,Bad_review
101 101 Knightsbridge Westminster Borough London SW1X 7RN UK,1/16/2016,8.2,The Park Tower Knightsbridge a Luxury Collection Hotel, United Arab Emirates ,901,14,4.2, I didnt like the treatment of the staff working in this hotel They predent that they Are 5 Star hotel but unfortunately the staff working dosent show that Comparing to other 5 star hotels this the worst i have ever stay on even 4 star hotels better than this hotel Before i visit we have tried to cancel our trip for but they refused We requested also to evacuate the fridge and they wanted to charge us 20 pounds and i have never heared all around the world any hotel charge for evacuating the fridge as they said a new policy Rude stuff Only the location,Bad_review
Oosterdoksstraat Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,4/18/2017,8.4,DoubleTree by Hilton Amsterdam Centraal Station, Saudi Arabia ,3911,5,5.0, Every thing my advice to everyone don t wast ur money on this hotel  Actually don t waste ur money on this hotel ,Bad_review
55 55 61 Westbourne Terrace Westminster Borough London W2 3UY UK,12/18/2016,7.3,Shaftesbury Premier London Paddington, United Kingdom ,3609,2,6.3, From outside the hotel didn t live up to much and the size of the rooms are outrageously small  The bed was extremely comfy and the location was perfect The room although small contained all the essentials ,Bad_review
10 10 rue Saint Hyacinthe 1st arr 75001 Paris France,4/30/2017,8.1,Hotel des Tuileries Relais du Silence, United Kingdom ,446,1,6.7, Reception and lounge very unimpressive Not the claimed 4star Staff also not very friendly or helpful  Bed very comfortable,Bad_review
78 78 Bis Avenue Marceau 8th arr 75008 Paris France,8/30/2016,7.4,Radisson Blu Champs Elys es Paris, Kuwait ,576,21,5.4, Air conditioning is very bad not working properly most of clients complaining for bad cooling system The beds and rooms are very small This hotel should be 3 star or 4 maximum Staff was friendly,Bad_review
